raw_class_id,target,class_name,class_family,prompt_id,prompt,prompt_set,variant_label,descriptor_count,clean_descriptor_count,descriptor_quality
314,6,Wood Duck (Breeding male),Wood Duck,1,"a field guide photo of a bird showing breeding male plumage, white throat, chestnut breast, red white bill, and glossy green crest.",descriptor_only,Breeding male,7,5,compact_verified
315,7,Gadwall (Breeding male),Gadwall,0,"a bird with breeding male plumage, gray-brown black patch, and dark bill.",descriptor_only,Breeding male,6,3,needs_normalization|shared_variant_descriptor
315,7,Gadwall (Breeding male),Gadwall,1,"a field guide photo of a bird showing breeding male plumage, gray-brown black patch, and dark bill.",descriptor_only,Breeding male,6,3,needs_normalization|shared_variant_descriptor
316,8,American Wigeon (Breeding male),American Wigeon,0,"a bird with breeding male plumage, wide green stripe, gleaming white cap, white patches, and pale gray bill.",descriptor_only,Breeding male,11,5,needs_normalization|shared_variant_descriptor
316,8,American Wigeon (Breeding male),American Wigeon,1,"a field guide photo of a bird showing breeding male plumage, wide green stripe, gleaming white cap, white patches, and pale gray bill.",descriptor_only,Breeding male,11,5,needs_normalization|shared_variant_descriptor
317,9,Mallard (Breeding male),Mallard,0,"a bird with breeding male plumage, brown breast, bright yellow bill, and brown mottled brown orange-brown bill.",descriptor_only,Breeding male,10,4,needs_normalization|shared_variant_descriptor
317,9,Mallard (Breeding male),Mallard,1,"a field guide photo of a bird showing breeding male plumage, brown breast, bright yellow bill, and brown mottled brown orange-brown bill.",descriptor_only,Breeding male,10,4,needs_normalization|shared_variant_descriptor
318,10,Blue-winged Teal  (Male),Blue-winged Teal,0,"a bird with male plumage, brown breast, small white flank, brown patch, and brown bill.",descriptor_only,Male,10,5,needs_normalization|shared_variant_descriptor
318,10,Blue-winged Teal  (Male),Blue-winged Teal,1,"a field guide photo of a bird showing male plumage, brown breast, small white flank, brown patch, and brown bill.",descriptor_only,Male,10,5,needs_normalization|shared_variant_descriptor
319,11,Cinnamon Teal (Male),Cinnamon Teal,0,"a bird with male plumage, and long dark bill.",descriptor_only,Male,9,2,needs_normalization|shared_variant_descriptor
319,11,Cinnamon Teal (Male),Cinnamon Teal,1,"a field guide photo of a bird showing male plumage, and long dark bill.",descriptor_only,Male,9,2,needs_normalization|shared_variant_descriptor
320,12,Northern Shoveler (Breeding male),Northern Shoveler,0,"a bird with breeding male plumage, white chest, and large orange bill.",descriptor_only,Breeding male,9,3,needs_normalization|shared_variant_descriptor
320,12,Northern Shoveler (Breeding male),Northern Shoveler,1,"a field guide photo of a bird showing breeding male plumage, white chest, and large orange bill.",descriptor_only,Breeding male,9,3,needs_normalization|shared_variant_descriptor
321,13,Northern Pintail (Breeding male),Northern Pintail,0,"a bird with breeding male plumage, gleaming white breast, and white line.",descriptor_only,Breeding male,5,3,needs_normalization|shared_variant_descriptor
321,13,Northern Pintail (Breeding male),Northern Pintail,1,"a field guide photo of a bird showing breeding male plumage, gleaming white breast, and white line.",descriptor_only,Breeding male,5,3,needs_normalization|shared_variant_descriptor
322,14,Green-winged Teal (Male),Green-winged Teal,0,"a bird with male plumage, grayish stripe, grayish shoulder, and green wing.",descriptor_only,Male,9,4,needs_normalization|shared_variant_descriptor
322,14,Green-winged Teal (Male),Green-winged Teal,1,"a field guide photo of a bird showing male plumage, grayish stripe, grayish shoulder, and green wing.",descriptor_only,Male,9,4,needs_normalization|shared_variant_descriptor
323,15,Canvasback (Breeding male),Canvasback,0,"a bird with breeding male plumage, and black chest.",descriptor_only,Breeding male,17,2,needs_normalization|shared_variant_descriptor
323,15,Canvasback (Breeding male),Canvasback,1,"a field guide photo of a bird showing breeding male plumage, and black chest.",descriptor_only,Breeding male,17,2,needs_normalization|shared_variant_descriptor
324,16,Redhead (Breeding male),Redhead,0,"a bird with breeding male plumage, black breast, black tail, and black-tipped gray bill.",descriptor_only,Breeding male,9,4,needs_normalization|shared_variant_descriptor
324,16,Redhead (Breeding male),Redhead,1,"a field guide photo of a bird showing breeding male plumage, black breast, black tail, and black-tipped gray bill.",descriptor_only,Breeding male,9,4,needs_normalization|shared_variant_descriptor
325,17,Ring-necked Duck (Breeding male),Ring-necked Duck,0,"a bird with breeding male plumage, gray chest, pale cheek, white patch, and prominent white ring plumage.",descriptor_only,Breeding male,13,5,needs_normalization|shared_variant_descriptor
325,17,Ring-necked Duck (Breeding male),Ring-necked Duck,1,"a field guide photo of a bird showing breeding male plumage, gray chest, pale cheek, white patch, and prominent white ring plumage.",descriptor_only,Breeding male,13,5,needs_normalization|shared_variant_descriptor
326,18,Greater Scaup (Breeding male),Greater Scaup,0,"a bird with breeding male plumage, white patch, bluish bill, and brown bill.",descriptor_only,Breeding male,11,4,needs_normalization|shared_variant_descriptor
326,18,Greater Scaup (Breeding male),Greater Scaup,1,"a field guide photo of a bird showing breeding male plumage, white patch, bluish bill, and brown bill.",descriptor_only,Breeding male,11,4,needs_normalization|shared_variant_descriptor
327,19,Lesser Scaup (Breeding male),Lesser Scaup,0,"a bird with breeding male plumage, finely barred black plumage, white patch, bluish bill, and brown bill.",descriptor_only,Breeding male,12,5,needs_normalization|shared_variant_descriptor
327,19,Lesser Scaup (Breeding male),Lesser Scaup,1,"a field guide photo of a bird showing breeding male plumage, finely barred black plumage, white patch, bluish bill, and brown bill.",descriptor_only,Breeding male,12,5,needs_normalization|shared_variant_descriptor
328,20,Harlequin Duck (Male),Harlequin Duck,0,"a bird with male plumage, white spot, white cheek, and white bill.",descriptor_only,Male,13,4,needs_normalization|shared_variant_descriptor
328,20,Harlequin Duck (Male),Harlequin Duck,1,"a field guide photo of a bird showing male plumage, white spot, white cheek, and white bill.",descriptor_only,Male,13,4,needs_normalization|shared_variant_descriptor
329,21,Surf Scoter (Male),Surf Scoter,0,"a bird with male plumage, white patches, white black nape, white face, and orange white black bill.",descriptor_only,Male,11,5,needs_normalization|shared_variant_descriptor
329,21,Surf Scoter (Male),Surf Scoter,1,"a field guide photo of a bird showing male plumage, white patches, white black nape, white face, and orange white black bill.",descriptor_only,Male,11,5,needs_normalization|shared_variant_descriptor
330,22,White-winged Scoter (Male),White-winged Scoter,0,"a bird with male plumage, large white patches, large white wing, large white belly, and white patches.",descriptor_only,Male,12,5,needs_normalization|shared_variant_descriptor
330,22,White-winged Scoter (Male),White-winged Scoter,1,"a field guide photo of a bird showing male plumage, large white patches, large white wing, large white belly, and white patches.",descriptor_only,Male,12,5,needs_normalization|shared_variant_descriptor
331,23,Black Scoter (Male),Black Scoter,0,"a bird with male plumage, blackish cap, and contrasting pale cheek.",descriptor_only,Male,9,3,needs_normalization|shared_variant_descriptor
331,23,Black Scoter (Male),Black Scoter,1,"a field guide photo of a bird showing male plumage, blackish cap, and contrasting pale cheek.",descriptor_only,Male,9,3,needs_normalization|shared_variant_descriptor
332,24,Bufflehead (Breeding male),Bufflehead,0,"a bird with breeding male plumage, large white patch, and white cheek.",descriptor_only,Breeding male,9,3,needs_normalization|shared_variant_descriptor
332,24,Bufflehead (Breeding male),Bufflehead,1,"a field guide photo of a bird showing breeding male plumage, large white patch, and white cheek.",descriptor_only,Breeding male,9,3,needs_normalization|shared_variant_descriptor
333,25,Common Goldeneye (Breeding male),Common Goldeneye,0,"a bird with breeding male plumage, round white spot, and white bill.",descriptor_only,Breeding male,15,3,needs_normalization|shared_variant_descriptor
333,25,Common Goldeneye (Breeding male),Common Goldeneye,1,"a field guide photo of a bird showing breeding male plumage, round white spot, and white bill.",descriptor_only,Breeding male,15,3,needs_normalization|shared_variant_descriptor
334,26,Barrow's Goldeneye (Breeding male),Barrow's Goldeneye,0,"a bird with breeding male plumage, white underparts, and yellow bill.",descriptor_only,Breeding male,5,3,needs_normalization|shared_variant_descriptor
334,26,Barrow's Goldeneye (Breeding male),Barrow's Goldeneye,1,"a field guide photo of a bird showing breeding male plumage, white underparts, and yellow bill.",descriptor_only,Breeding male,5,3,needs_normalization|shared_variant_descriptor
335,27,Hooded Merganser (Breeding male),Hooded Merganser,0,"a bird with breeding male plumage, black upperparts, white breast, rich chestnut flank, and large white patch.",descriptor_only,Breeding male,7,5,needs_normalization|shared_variant_descriptor
335,27,Hooded Merganser (Breeding male),Hooded Merganser,1,"a field guide photo of a bird showing breeding male plumage, black upperparts, white breast, rich chestnut flank, and large white patch.",descriptor_only,Breeding male,7,5,needs_normalization|shared_variant_descriptor
336,28,Common Merganser (Breeding male),Common Merganser,0,"a bird with breeding male plumage, and white chest.",descriptor_only,Breeding male,9,2,needs_normalization|shared_variant_descriptor
336,28,Common Merganser (Breeding male),Common Merganser,1,"a field guide photo of a bird showing breeding male plumage, and white chest.",descriptor_only,Breeding male,9,2,needs_normalization|shared_variant_descriptor
337,29,Red-breasted Merganser (Breeding male),Red-breasted Merganser,0,"a bird with breeding male plumage, cinnamon chest, and brownish breast.",descriptor_only,Breeding male,13,3,needs_normalization|shared_variant_descriptor
337,29,Red-breasted Merganser (Breeding male),Red-breasted Merganser,1,"a field guide photo of a bird showing breeding male plumage, cinnamon chest, and brownish breast.",descriptor_only,Breeding male,13,3,needs_normalization|shared_variant_descriptor
338,30,California Quail (Male),California Quail,0,"a bird with male plumage, and brown black face.",descriptor_only,Male,9,2,needs_normalization|shared_variant_descriptor
338,30,California Quail (Male),California Quail,1,"a field guide photo of a bird showing male plumage, and brown black face.",descriptor_only,Male,9,2,needs_normalization|shared_variant_descriptor
339,31,Gambel's Quail (Male),Gambel's Quail,0,"a bird with male plumage, chestnut flank, white creamy belly, and black patch.",descriptor_only,Male,15,4,needs_normalization|shared_variant_descriptor
339,31,Gambel's Quail (Male),Gambel's Quail,1,"a field guide photo of a bird showing male plumage, chestnut flank, white creamy belly, and black patch.",descriptor_only,Male,15,4,needs_normalization|shared_variant_descriptor
340,32,Ring-necked Pheasant (Male),Ring-necked Pheasant,0,"a bird with male plumage, red face, bold white ring plumage, thin black bars, and buff cinnamon underparts.",descriptor_only,Male,13,5,needs_normalization|shared_variant_descriptor
340,32,Ring-necked Pheasant (Male),Ring-necked Pheasant,1,"a field guide photo of a bird showing male plumage, red face, bold white ring plumage, thin black bars, and buff cinnamon underparts.",descriptor_only,Male,13,5,needs_normalization|shared_variant_descriptor
341,33,Red-throated Loon (Breeding),Red-throated Loon,0,"a bird with breeding plumage, pale underparts, rusty throat, pale gray patch, and pale gray breast.",descriptor_only,Breeding,15,5,needs_normalization|shared_variant_descriptor
341,33,Red-throated Loon (Breeding),Red-throated Loon,1,"a field guide photo of a bird showing breeding plumage, pale underparts, rusty throat, pale gray patch, and pale gray breast.",descriptor_only,Breeding,15,5,needs_normalization|shared_variant_descriptor
342,34,Pacific Loon (Breeding),Pacific Loon,0,"a bird with breeding plumage, black upperparts, dark gray-brown upperparts, whitish underparts, and dark line.",descriptor_only,Breeding,17,5,needs_normalization|shared_variant_descriptor
342,34,Pacific Loon (Breeding),Pacific Loon,1,"a field guide photo of a bird showing breeding plumage, black upperparts, dark gray-brown upperparts, whitish underparts, and dark line.",descriptor_only,Breeding,17,5,needs_normalization|shared_variant_descriptor
343,35,Common Loon (Breeding),Common Loon,0,"a bird with breeding plumage, white breast, white throat, and black bill.",descriptor_only,Breeding,12,4,needs_normalization|shared_variant_descriptor
343,35,Common Loon (Breeding),Common Loon,1,"a field guide photo of a bird showing breeding plumage, white breast, white throat, and black bill.",descriptor_only,Breeding,12,4,needs_normalization|shared_variant_descriptor
344,36,Horned Grebe (Breeding),Horned Grebe,0,"a bird with breeding plumage, grayish upperparts, white underparts, and white cheek.",descriptor_only,Breeding,12,4,needs_normalization|shared_variant_descriptor
344,36,Horned Grebe (Breeding),Horned Grebe,1,"a field guide photo of a bird showing breeding plumage, grayish upperparts, white underparts, and white cheek.",descriptor_only,Breeding,12,4,needs_normalization|shared_variant_descriptor
345,37,Red-necked Grebe (Breeding),Red-necked Grebe,0,"a bird with breeding plumage, dark gray upperparts, dark gray underparts, pale cheek, and rusty red breast.",descriptor_only,Breeding,8,5,needs_normalization|shared_variant_descriptor
345,37,Red-necked Grebe (Breeding),Red-necked Grebe,1,"a field guide photo of a bird showing breeding plumage, dark gray upperparts, dark gray underparts, pale cheek, and rusty red breast.",descriptor_only,Breeding,8,5,needs_normalization|shared_variant_descriptor
346,38,Eared Grebe (Breeding),Eared Grebe,0,"a bird with breeding plumage, chestnut flank, and dark crown.",descriptor_only,Breeding,9,3,needs_normalization|shared_variant_descriptor
346,38,Eared Grebe (Breeding),Eared Grebe,1,"a field guide photo of a bird showing breeding plumage, chestnut flank, and dark crown.",descriptor_only,Breeding,9,3,needs_normalization|shared_variant_descriptor
347,39,"Northern Gannet (Adult, Subadult)",Northern Gannet,0,"a bird with adult, subadult plumage.",descriptor_only,"Adult, Subadult",10,1,needs_normalization|shared_variant_descriptor
347,39,"Northern Gannet (Adult, Subadult)",Northern Gannet,1,"a field guide photo of a bird showing adult, subadult plumage.",descriptor_only,"Adult, Subadult",10,1,needs_normalization|shared_variant_descriptor
348,40,Double-crested Cormorant (Immature),Double-crested Cormorant,0,a bird with immature plumage.,descriptor_only,Immature,7,1,needs_normalization|shared_variant_descriptor
348,40,Double-crested Cormorant (Immature),Double-crested Cormorant,1,a field guide photo of a bird showing immature plumage.,descriptor_only,Immature,7,1,needs_normalization|shared_variant_descriptor
349,41,Great Cormorant (Adult),Great Cormorant,0,"a bird with adult plumage, white throat, brownish whitish throat, brownish whitish belly, and brownish streaking edges.",descriptor_only,Adult,9,5,needs_normalization|shared_variant_descriptor
349,41,Great Cormorant (Adult),Great Cormorant,1,"a field guide photo of a bird showing adult plumage, white throat, brownish whitish throat, brownish whitish belly, and brownish streaking edges.",descriptor_only,Adult,9,5,needs_normalization|shared_variant_descriptor
350,42,Little Blue Heron (Adult),Little Blue Heron,0,"a bird with adult plumage, and greenish bill.",descriptor_only,Adult,15,2,needs_normalization|shared_variant_descriptor
350,42,Little Blue Heron (Adult),Little Blue Heron,1,"a field guide photo of a bird showing adult plumage, and greenish bill.",descriptor_only,Adult,15,2,needs_normalization|shared_variant_descriptor
351,43,Reddish Egret (Dark morph),Reddish Egret,0,a bird with dark morph.,descriptor_only,Dark morph,9,1,needs_normalization|shared_variant_descriptor
351,43,Reddish Egret (Dark morph),Reddish Egret,1,a field guide photo of a bird showing dark morph.,descriptor_only,Dark morph,9,1,needs_normalization|shared_variant_descriptor
352,44,Black-crowned Night-Heron (Adult),Black-crowned Night-Heron,0,"a bird with adult plumage, black crown, brown large white spots, large white underparts, and yellow black bill.",descriptor_only,Adult,11,5,needs_normalization|shared_variant_descriptor
352,44,Black-crowned Night-Heron (Adult),Black-crowned Night-Heron,1,"a field guide photo of a bird showing adult plumage, black crown, brown large white spots, large white underparts, and yellow black bill.",descriptor_only,Adult,11,5,needs_normalization|shared_variant_descriptor
353,45,Yellow-crowned Night-Heron (Adult),Yellow-crowned Night-Heron,0,"a bird with adult plumage, large white cheek, black patch, creamy yellow crown, and brown fine white spots.",descriptor_only,Adult,14,5,needs_normalization|shared_variant_descriptor
353,45,Yellow-crowned Night-Heron (Adult),Yellow-crowned Night-Heron,1,"a field guide photo of a bird showing adult plumage, large white cheek, black patch, creamy yellow crown, and brown fine white spots.",descriptor_only,Adult,14,5,needs_normalization|shared_variant_descriptor
354,46,White Ibis (Adult),White Ibis,0,"a bird with adult plumage, brown upperparts, white underparts, white upperparts, and reddish pink bill.",descriptor_only,Adult,15,5,needs_normalization|shared_variant_descriptor
354,46,White Ibis (Adult),White Ibis,1,"a field guide photo of a bird showing adult plumage, brown upperparts, white underparts, white upperparts, and reddish pink bill.",descriptor_only,Adult,15,5,needs_normalization|shared_variant_descriptor
355,47,"Bald Eagle (Adult, subadult)",Bald Eagle,0,"a bird with adult, subadult plumage, white tail, and dark tail.",descriptor_only,"Adult, subadult",12,3,needs_normalization|shared_variant_descriptor
355,47,"Bald Eagle (Adult, subadult)",Bald Eagle,1,"a field guide photo of a bird showing adult, subadult plumage, white tail, and dark tail.",descriptor_only,"Adult, subadult",12,3,needs_normalization|shared_variant_descriptor
356,48,Northern Harrier (Adult male),Northern Harrier,0,"a bird with adult male plumage, gray upperparts, whitish underparts, whitish wing, and white rump.",descriptor_only,Adult male,17,5,needs_normalization|shared_variant_descriptor
356,48,Northern Harrier (Adult male),Northern Harrier,1,"a field guide photo of a bird showing adult male plumage, gray upperparts, whitish underparts, whitish wing, and white rump.",descriptor_only,Adult male,17,5,needs_normalization|shared_variant_descriptor
357,49,Sharp-shinned Hawk (Adult ),Sharp-shinned Hawk,0,"a bird with adult plumage, and white underparts.",descriptor_only,Adult,10,2,needs_normalization|shared_variant_descriptor
357,49,Sharp-shinned Hawk (Adult ),Sharp-shinned Hawk,1,"a field guide photo of a bird showing adult plumage, and white underparts.",descriptor_only,Adult,10,2,needs_normalization|shared_variant_descriptor
358,50,Cooper's Hawk (Adult),Cooper's Hawk,0,"a bird with adult plumage, warm reddish bars, brown upperparts, and brown breast.",descriptor_only,Adult,10,4,needs_normalization|shared_variant_descriptor
358,50,Cooper's Hawk (Adult),Cooper's Hawk,1,"a field guide photo of a bird showing adult plumage, warm reddish bars, brown upperparts, and brown breast.",descriptor_only,Adult,10,4,needs_normalization|shared_variant_descriptor
359,51,Red-shouldered Hawk (Adult ),Red-shouldered Hawk,0,"a bird with adult plumage, white checkered breast, brown upperparts, and white underparts.",descriptor_only,Adult,10,4,needs_normalization|shared_variant_descriptor
359,51,Red-shouldered Hawk (Adult ),Red-shouldered Hawk,1,"a field guide photo of a bird showing adult plumage, white checkered breast, brown upperparts, and white underparts.",descriptor_only,Adult,10,4,needs_normalization|shared_variant_descriptor
360,52,Broad-winged Hawk (Adult),Broad-winged Hawk,0,a bird with adult plumage.,descriptor_only,Adult,8,1,needs_normalization|shared_variant_descriptor
360,52,Broad-winged Hawk (Adult),Broad-winged Hawk,1,a field guide photo of a bird showing adult plumage.,descriptor_only,Adult,8,1,needs_normalization|shared_variant_descriptor
361,53,Rough-legged Hawk (Dark morph),Rough-legged Hawk,0,"a bird with dark morph, dark patches, dark belly, pale wing, and pale patches.",descriptor_only,Dark morph,9,5,needs_normalization|shared_variant_descriptor
361,53,Rough-legged Hawk (Dark morph),Rough-legged Hawk,1,"a field guide photo of a bird showing dark morph, dark patches, dark belly, pale wing, and pale patches.",descriptor_only,Dark morph,9,5,needs_normalization|shared_variant_descriptor
362,54,Golden Eagle (Adult),Golden Eagle,0,"a bird with adult plumage, and white patches.",descriptor_only,Adult,2,2,needs_normalization|shared_variant_descriptor
362,54,Golden Eagle (Adult),Golden Eagle,1,"a field guide photo of a bird showing adult plumage, and white patches.",descriptor_only,Adult,2,2,needs_normalization|shared_variant_descriptor
363,55,American Kestrel (Adult male),American Kestrel,0,a bird with adult male plumage.,descriptor_only,Adult male,5,1,needs_normalization|shared_variant_descriptor
363,55,American Kestrel (Adult male),American Kestrel,1,a field guide photo of a bird showing adult male plumage.,descriptor_only,Adult male,5,1,needs_normalization|shared_variant_descriptor
364,56,Peregrine Falcon (Adult),Peregrine Falcon,0,a bird with adult plumage.,descriptor_only,Adult,6,1,needs_normalization|shared_variant_descriptor
364,56,Peregrine Falcon (Adult),Peregrine Falcon,1,a field guide photo of a bird showing adult plumage.,descriptor_only,Adult,6,1,needs_normalization|shared_variant_descriptor
365,57,Purple Gallinule (Adult),Purple Gallinule,0,"a bird with adult plumage, brown upperparts, brown underparts, yellow-tipped red bill, and brown bill.",descriptor_only,Adult,12,5,needs_normalization|shared_variant_descriptor
365,57,Purple Gallinule (Adult),Purple Gallinule,1,"a field guide photo of a bird showing adult plumage, brown upperparts, brown underparts, yellow-tipped red bill, and brown bill.",descriptor_only,Adult,12,5,needs_normalization|shared_variant_descriptor
366,58,Common Gallinule (Adult),Common Gallinule,0,"a bird with adult plumage, white stripe, white tail feathers, and red bill.",descriptor_only,Adult,9,4,needs_normalization|shared_variant_descriptor
366,58,Common Gallinule (Adult),Common Gallinule,1,"a field guide photo of a bird showing adult plumage, white stripe, white tail feathers, and red bill.",descriptor_only,Adult,9,4,needs_normalization|shared_variant_descriptor
367,59,Black-bellied Plover (Breeding),Black-bellied Plover,0,"a bird with breeding plumage, black face, black belly, white crown, and white nape.",descriptor_only,Breeding,17,5,needs_normalization|shared_variant_descriptor
367,59,Black-bellied Plover (Breeding),Black-bellied Plover,1,"a field guide photo of a bird showing breeding plumage, black face, black belly, white crown, and white nape.",descriptor_only,Breeding,17,5,needs_normalization|shared_variant_descriptor
368,60,Spotted Sandpiper (Breeding),Spotted Sandpiper,0,"a bird with breeding plumage, spotted bold dark spots, bright white breast, and orange bill.",descriptor_only,Breeding,6,4,needs_normalization|shared_variant_descriptor
368,60,Spotted Sandpiper (Breeding),Spotted Sandpiper,1,"a field guide photo of a bird showing breeding plumage, spotted bold dark spots, bright white breast, and orange bill.",descriptor_only,Breeding,6,4,needs_normalization|shared_variant_descriptor
369,61,Sanderling (Breeding),Sanderling,0,a bird with breeding plumage.,descriptor_only,Breeding,5,1,needs_normalization|shared_variant_descriptor
369,61,Sanderling (Breeding),Sanderling,1,a field guide photo of a bird showing breeding plumage.,descriptor_only,Breeding,5,1,needs_normalization|shared_variant_descriptor
370,62,Dunlin (Breeding),Dunlin,0,"a bird with breeding plumage, bright rusty crown, black belly, bright rusty patch, and white underparts.",descriptor_only,Breeding,16,5,needs_normalization|shared_variant_descriptor
370,62,Dunlin (Breeding),Dunlin,1,"a field guide photo of a bird showing breeding plumage, bright rusty crown, black belly, bright rusty patch, and white underparts.",descriptor_only,Breeding,16,5,needs_normalization|shared_variant_descriptor
371,63,Wilson's Phalarope (Breeding),Wilson's Phalarope,0,"a bird with breeding plumage, pale gray upperparts, and white underparts.",descriptor_only,Breeding,6,3,needs_normalization|shared_variant_descriptor
371,63,Wilson's Phalarope (Breeding),Wilson's Phalarope,1,"a field guide photo of a bird showing breeding plumage, pale gray upperparts, and white underparts.",descriptor_only,Breeding,6,3,needs_normalization|shared_variant_descriptor
372,64,Broad-billed Hummingbird (Adult Male),Broad-billed Hummingbird,0,"a bird with adult male plumage, blue throat, gray underparts, white line, and red bill.",descriptor_only,Adult Male,11,5,needs_normalization|shared_variant_descriptor
372,64,Broad-billed Hummingbird (Adult Male),Broad-billed Hummingbird,1,"a field guide photo of a bird showing adult male plumage, blue throat, gray underparts, white line, and red bill.",descriptor_only,Adult Male,11,5,needs_normalization|shared_variant_descriptor
373,65,Ruby-throated Hummingbird (Adult Male),Ruby-throated Hummingbird,0,"a bird with adult male plumage, and iridescent red throat.",descriptor_only,Adult Male,6,2,needs_normalization|shared_variant_descriptor
373,65,Ruby-throated Hummingbird (Adult Male),Ruby-throated Hummingbird,1,"a field guide photo of a bird showing adult male plumage, and iridescent red throat.",descriptor_only,Adult Male,6,2,needs_normalization|shared_variant_descriptor
374,66,Black-chinned Hummingbird (Adult Male),Black-chinned Hummingbird,0,"a bird with adult male plumage, green upperparts, black throat, and pale throat.",descriptor_only,Adult Male,8,4,needs_normalization|shared_variant_descriptor
374,66,Black-chinned Hummingbird (Adult Male),Black-chinned Hummingbird,1,"a field guide photo of a bird showing adult male plumage, green upperparts, black throat, and pale throat.",descriptor_only,Adult Male,8,4,needs_normalization|shared_variant_descriptor
375,67,Anna's Hummingbird (Adult Male),Anna's Hummingbird,0,a bird with adult male plumage.,descriptor_only,Adult Male,5,1,needs_normalization|shared_variant_descriptor
375,67,Anna's Hummingbird (Adult Male),Anna's Hummingbird,1,a field guide photo of a bird showing adult male plumage.,descriptor_only,Adult Male,5,1,needs_normalization|shared_variant_descriptor
376,68,Costa's Hummingbird (Adult Male),Costa's Hummingbird,0,"a bird with adult male plumage, iridescent purple crown, greenish upperparts, white eyebrow, and greenish stripe.",descriptor_only,Adult Male,10,5,needs_normalization|shared_variant_descriptor
376,68,Costa's Hummingbird (Adult Male),Costa's Hummingbird,1,"a field guide photo of a bird showing adult male plumage, iridescent purple crown, greenish upperparts, white eyebrow, and greenish stripe.",descriptor_only,Adult Male,10,5,needs_normalization|shared_variant_descriptor
377,69,Calliope Hummingbird (Adult Male),Calliope Hummingbird,0,"a bird with adult male plumage, greenish upperparts, and greenish underparts.",descriptor_only,Adult Male,6,3,needs_normalization|shared_variant_descriptor
377,69,Calliope Hummingbird (Adult Male),Calliope Hummingbird,1,"a field guide photo of a bird showing adult male plumage, greenish upperparts, and greenish underparts.",descriptor_only,Adult Male,6,3,needs_normalization|shared_variant_descriptor
378,70,Broad-tailed Hummingbird (Adult Male),Broad-tailed Hummingbird,0,"a bird with adult male plumage, iridescent green upperparts, greenish buffy flank, white chest, and white line.",descriptor_only,Adult Male,14,5,needs_normalization|shared_variant_descriptor
378,70,Broad-tailed Hummingbird (Adult Male),Broad-tailed Hummingbird,1,"a field guide photo of a bird showing adult male plumage, iridescent green upperparts, greenish buffy flank, white chest, and white line.",descriptor_only,Adult Male,14,5,needs_normalization|shared_variant_descriptor
379,71,Rufous Hummingbird (Adult Male),Rufous Hummingbird,0,"a bird with adult male plumage, bright orange belly, green upperparts, rufous patches, and green spot.",descriptor_only,Adult Male,14,5,needs_normalization|shared_variant_descriptor
