raw_class_id,target,class_name,class_family,prompt_id,prompt,prompt_set,variant,external_trait_count,match_status,source_names,source_urls,licenses
299,4,Red-tailed Hawk (Light morph adult),Red-tailed Hawk,1,a field guide photo of a light morph adult Red-tailed Hawk.,short_variant_plus_external_traits,Light morph adult,5,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Red-tailed_hawk,CC BY-SA (Wikipedia text; verify page footer)
299,4,Red-tailed Hawk (Light morph adult),Red-tailed Hawk,2,"a field guide photo of a light morph adult Red-tailed Hawk, showing light morph adult, cinnamon flanks, dark wing, red tail, and rufous underparts.",short_variant_plus_external_traits,Light morph adult,5,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Red-tailed_hawk,CC BY-SA (Wikipedia text; verify page footer)
313,5,Snow Goose (White morph),Snow Goose,0,Snow Goose White morph,short_variant_plus_external_traits,White morph,3,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Snow_goose,CC BY-SA (Wikipedia text; verify page footer)
313,5,Snow Goose (White morph),Snow Goose,1,a field guide photo of a white morph Snow Goose.,short_variant_plus_external_traits,White morph,3,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Snow_goose,CC BY-SA (Wikipedia text; verify page footer)
313,5,Snow Goose (White morph),Snow Goose,2,"a field guide photo of a white morph Snow Goose, showing white morph, gray plumage, white plumage, and black wing.",short_variant_plus_external_traits,White morph,3,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Snow_goose,CC BY-SA (Wikipedia text; verify page footer)
314,6,Wood Duck (Breeding male),Wood Duck,0,Wood Duck Breeding male,short_variant_plus_external_traits,Breeding male,2,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Wood_duck,CC BY-SA (Wikipedia text; verify page footer)
314,6,Wood Duck (Breeding male),Wood Duck,1,a field guide photo of a breeding male Wood Duck.,short_variant_plus_external_traits,Breeding male,2,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Wood_duck,CC BY-SA (Wikipedia text; verify page footer)
314,6,Wood Duck (Breeding male),Wood Duck,2,"a field guide photo of a breeding male Wood Duck, showing breeding male plumage, white eye, and whitish throat.",short_variant_plus_external_traits,Breeding male,2,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Wood_duck,CC BY-SA (Wikipedia text; verify page footer)
315,7,Gadwall (Breeding male),Gadwall,0,Gadwall Breeding male,short_variant_plus_external_traits,Breeding male,2,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Gadwall,CC BY-SA (Wikipedia text; verify page footer)
315,7,Gadwall (Breeding male),Gadwall,1,a field guide photo of a breeding male Gadwall.,short_variant_plus_external_traits,Breeding male,2,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Gadwall,CC BY-SA (Wikipedia text; verify page footer)
315,7,Gadwall (Breeding male),Gadwall,2,"a field guide photo of a breeding male Gadwall, showing breeding male plumage, chestnut wings, and white belly.",short_variant_plus_external_traits,Breeding male,2,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Gadwall,CC BY-SA (Wikipedia text; verify page footer)
316,8,American Wigeon (Breeding male),American Wigeon,0,American Wigeon Breeding male,short_variant_plus_external_traits,Breeding male,8,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/American_wigeon,CC BY-SA (Wikipedia text; verify page footer)
316,8,American Wigeon (Breeding male),American Wigeon,1,a field guide photo of a breeding male American Wigeon.,short_variant_plus_external_traits,Breeding male,8,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/American_wigeon,CC BY-SA (Wikipedia text; verify page footer)
316,8,American Wigeon (Breeding male),American Wigeon,2,"a field guide photo of a breeding male American Wigeon, showing breeding male plumage, gray and brown plumage, blue bill, white belly, and whitish crown.",short_variant_plus_external_traits,Breeding male,8,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/American_wigeon,CC BY-SA (Wikipedia text; verify page footer)
317,9,Mallard (Breeding male),Mallard,0,Mallard Breeding male,short_variant_plus_external_traits,Breeding male,5,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Mallard,CC BY-SA (Wikipedia text; verify page footer)
317,9,Mallard (Breeding male),Mallard,1,a field guide photo of a breeding male Mallard.,short_variant_plus_external_traits,Breeding male,5,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Mallard,CC BY-SA (Wikipedia text; verify page footer)
317,9,Mallard (Breeding male),Mallard,2,"a field guide photo of a breeding male Mallard, showing breeding male plumage, brown breast, brown wings, dark tail, and green head.",short_variant_plus_external_traits,Breeding male,5,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Mallard,CC BY-SA (Wikipedia text; verify page footer)
318,10,Blue-winged Teal  (Male),Blue-winged Teal,0,Blue-winged Teal Male,short_variant_plus_external_traits,Male,3,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Blue-winged_teal,CC BY-SA (Wikipedia text; verify page footer)
318,10,Blue-winged Teal  (Male),Blue-winged Teal,1,a field guide photo of a male Blue-winged Teal.,short_variant_plus_external_traits,Male,3,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Blue-winged_teal,CC BY-SA (Wikipedia text; verify page footer)
318,10,Blue-winged Teal  (Male),Blue-winged Teal,2,"a field guide photo of a male Blue-winged Teal, showing male plumage, black tail, blue head, and blue wing.",short_variant_plus_external_traits,Male,3,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Blue-winged_teal,CC BY-SA (Wikipedia text; verify page footer)
319,11,Cinnamon Teal (Male),Cinnamon Teal,0,Cinnamon Teal Male,short_variant_plus_external_traits,Male,9,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Cinnamon_teal,CC BY-SA (Wikipedia text; verify page footer)
319,11,Cinnamon Teal (Male),Cinnamon Teal,1,a field guide photo of a male Cinnamon Teal.,short_variant_plus_external_traits,Male,9,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Cinnamon_teal,CC BY-SA (Wikipedia text; verify page footer)
319,11,Cinnamon Teal (Male),Cinnamon Teal,2,"a field guide photo of a male Cinnamon Teal, showing male plumage, brown plumage, reddish plumage, brown back, and brown head.",short_variant_plus_external_traits,Male,9,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Cinnamon_teal,CC BY-SA (Wikipedia text; verify page footer)
320,12,Northern Shoveler (Breeding male),Northern Shoveler,0,Northern Shoveler Breeding male,short_variant_plus_external_traits,Breeding male,3,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Northern_shoveler,CC BY-SA (Wikipedia text; verify page footer)
320,12,Northern Shoveler (Breeding male),Northern Shoveler,1,a field guide photo of a breeding male Northern Shoveler.,short_variant_plus_external_traits,Breeding male,3,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Northern_shoveler,CC BY-SA (Wikipedia text; verify page footer)
320,12,Northern Shoveler (Breeding male),Northern Shoveler,2,"a field guide photo of a breeding male Northern Shoveler, showing breeding male plumage, chestnut belly, green head, and white breast.",short_variant_plus_external_traits,Breeding male,3,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Northern_shoveler,CC BY-SA (Wikipedia text; verify page footer)
321,13,Northern Pintail (Breeding male),Northern Pintail,0,Northern Pintail Breeding male,short_variant_plus_external_traits,Breeding male,5,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Northern_pintail,CC BY-SA (Wikipedia text; verify page footer)
321,13,Northern Pintail (Breeding male),Northern Pintail,1,a field guide photo of a breeding male Northern Pintail.,short_variant_plus_external_traits,Breeding male,5,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Northern_pintail,CC BY-SA (Wikipedia text; verify page footer)
321,13,Northern Pintail (Breeding male),Northern Pintail,2,"a field guide photo of a breeding male Northern Pintail, showing breeding male plumage, brown head, white breast, white underparts, and large duck.",short_variant_plus_external_traits,Breeding male,5,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Northern_pintail,CC BY-SA (Wikipedia text; verify page footer)
322,14,Green-winged Teal (Male),Green-winged Teal,0,Green-winged Teal Male,short_variant_plus_external_traits,Male,3,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Green-winged_teal,CC BY-SA (Wikipedia text; verify page footer)
322,14,Green-winged Teal (Male),Green-winged Teal,1,a field guide photo of a male Green-winged Teal.,short_variant_plus_external_traits,Male,3,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Green-winged_teal,CC BY-SA (Wikipedia text; verify page footer)
322,14,Green-winged Teal (Male),Green-winged Teal,2,"a field guide photo of a male Green-winged Teal, showing male plumage, chestnut head, gray flanks, and green eye.",short_variant_plus_external_traits,Male,3,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Green-winged_teal,CC BY-SA (Wikipedia text; verify page footer)
323,15,Canvasback (Breeding male),Canvasback,0,Canvasback Breeding male,short_variant_plus_external_traits,Breeding male,7,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Canvasback,CC BY-SA (Wikipedia text; verify page footer)
323,15,Canvasback (Breeding male),Canvasback,1,a field guide photo of a breeding male Canvasback.,short_variant_plus_external_traits,Breeding male,7,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Canvasback,CC BY-SA (Wikipedia text; verify page footer)
323,15,Canvasback (Breeding male),Canvasback,2,"a field guide photo of a breeding male Canvasback, showing breeding male plumage, black bill, black breast, black rump, and brown head.",short_variant_plus_external_traits,Breeding male,7,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Canvasback,CC BY-SA (Wikipedia text; verify page footer)
324,16,Redhead (Breeding male),Redhead,0,Redhead Breeding male,short_variant_plus_external_traits,Breeding male,2,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Red_hair,CC BY-SA (Wikipedia text; verify page footer)
324,16,Redhead (Breeding male),Redhead,1,a field guide photo of a breeding male Redhead.,short_variant_plus_external_traits,Breeding male,2,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Red_hair,CC BY-SA (Wikipedia text; verify page footer)
324,16,Redhead (Breeding male),Redhead,2,"a field guide photo of a breeding male Redhead, showing breeding male plumage, blue eye, and red head.",short_variant_plus_external_traits,Breeding male,2,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Red_hair,CC BY-SA (Wikipedia text; verify page footer)
325,17,Ring-necked Duck (Breeding male),Ring-necked Duck,0,Ring-necked Duck Breeding male,short_variant_plus_external_traits,Breeding male,6,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Ring-necked_duck,CC BY-SA (Wikipedia text; verify page footer)
325,17,Ring-necked Duck (Breeding male),Ring-necked Duck,1,a field guide photo of a breeding male Ring-necked Duck.,short_variant_plus_external_traits,Breeding male,6,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Ring-necked_duck,CC BY-SA (Wikipedia text; verify page footer)
325,17,Ring-necked Duck (Breeding male),Ring-necked Duck,2,"a field guide photo of a breeding male Ring-necked Duck, showing breeding male plumage, black back, brown back, cinnamon neck, and dark bill.",short_variant_plus_external_traits,Breeding male,6,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Ring-necked_duck,CC BY-SA (Wikipedia text; verify page footer)
326,18,Greater Scaup (Breeding male),Greater Scaup,0,Greater Scaup Breeding male,short_variant_plus_external_traits,Breeding male,6,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Greater_scaup,CC BY-SA (Wikipedia text; verify page footer)
326,18,Greater Scaup (Breeding male),Greater Scaup,1,a field guide photo of a breeding male Greater Scaup.,short_variant_plus_external_traits,Breeding male,6,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Greater_scaup,CC BY-SA (Wikipedia text; verify page footer)
326,18,Greater Scaup (Breeding male),Greater Scaup,2,"a field guide photo of a breeding male Greater Scaup, showing breeding male plumage, black breast, black tail, blue bill, and dark head.",short_variant_plus_external_traits,Breeding male,6,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Greater_scaup,CC BY-SA (Wikipedia text; verify page footer)
327,19,Lesser Scaup (Breeding male),Lesser Scaup,0,Lesser Scaup Breeding male,short_variant_plus_external_traits,Breeding male,11,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Lesser_scaup,CC BY-SA (Wikipedia text; verify page footer)
327,19,Lesser Scaup (Breeding male),Lesser Scaup,1,a field guide photo of a breeding male Lesser Scaup.,short_variant_plus_external_traits,Breeding male,11,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Lesser_scaup,CC BY-SA (Wikipedia text; verify page footer)
327,19,Lesser Scaup (Breeding male),Lesser Scaup,2,"a field guide photo of a breeding male Lesser Scaup, showing breeding male plumage, black back, black bill, black breast, and blue bill.",short_variant_plus_external_traits,Breeding male,11,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Lesser_scaup,CC BY-SA (Wikipedia text; verify page footer)
328,20,Harlequin Duck (Male),Harlequin Duck,0,Harlequin Duck Male,short_variant_plus_external_traits,Male,2,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Harlequin_duck,CC BY-SA (Wikipedia text; verify page footer)
328,20,Harlequin Duck (Male),Harlequin Duck,1,a field guide photo of a male Harlequin Duck.,short_variant_plus_external_traits,Male,2,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Harlequin_duck,CC BY-SA (Wikipedia text; verify page footer)
328,20,Harlequin Duck (Male),Harlequin Duck,2,"a field guide photo of a male Harlequin Duck, showing male plumage, black crown, and spotted duck.",short_variant_plus_external_traits,Male,2,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Harlequin_duck,CC BY-SA (Wikipedia text; verify page footer)
329,21,Surf Scoter (Male),Surf Scoter,0,Surf Scoter Male,short_variant_plus_external_traits,Male,1,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Surf_scoter,CC BY-SA (Wikipedia text; verify page footer)
329,21,Surf Scoter (Male),Surf Scoter,1,a field guide photo of a male Surf Scoter.,short_variant_plus_external_traits,Male,1,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Surf_scoter,CC BY-SA (Wikipedia text; verify page footer)
329,21,Surf Scoter (Male),Surf Scoter,2,"a field guide photo of a male Surf Scoter, showing male plumage, and dark wings.",short_variant_plus_external_traits,Male,1,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Surf_scoter,CC BY-SA (Wikipedia text; verify page footer)
330,22,White-winged Scoter (Male),White-winged Scoter,0,White-winged Scoter Male,short_variant_plus_external_traits,Male,3,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/White-winged_scoter,CC BY-SA (Wikipedia text; verify page footer)
330,22,White-winged Scoter (Male),White-winged Scoter,1,a field guide photo of a male White-winged Scoter.,short_variant_plus_external_traits,Male,3,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/White-winged_scoter,CC BY-SA (Wikipedia text; verify page footer)
330,22,White-winged Scoter (Male),White-winged Scoter,2,"a field guide photo of a male White-winged Scoter, showing male plumage, white belly, yellow bill, and large bill.",short_variant_plus_external_traits,Male,3,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/White-winged_scoter,CC BY-SA (Wikipedia text; verify page footer)
331,23,Black Scoter (Male),Black Scoter,0,Black Scoter Male,short_variant_plus_external_traits,Male,1,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Black_scoter,CC BY-SA (Wikipedia text; verify page footer)
331,23,Black Scoter (Male),Black Scoter,1,a field guide photo of a male Black Scoter.,short_variant_plus_external_traits,Male,1,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Black_scoter,CC BY-SA (Wikipedia text; verify page footer)
331,23,Black Scoter (Male),Black Scoter,2,"a field guide photo of a male Black Scoter, showing male plumage, and large bill.",short_variant_plus_external_traits,Male,1,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Black_scoter,CC BY-SA (Wikipedia text; verify page footer)
332,24,Bufflehead (Breeding male),Bufflehead,0,Bufflehead Breeding male,external_traits_fallback,Breeding male,0,matched_without_traits,wikipedia,https://en.wikipedia.org/wiki/Bufflehead,CC BY-SA (Wikipedia text; verify page footer)
332,24,Bufflehead (Breeding male),Bufflehead,1,a photo of a breeding male Bufflehead.,external_traits_fallback,Breeding male,0,matched_without_traits,wikipedia,https://en.wikipedia.org/wiki/Bufflehead,CC BY-SA (Wikipedia text; verify page footer)
332,24,Bufflehead (Breeding male),Bufflehead,2,a field guide photo of a breeding male Bufflehead.,external_traits_fallback,Breeding male,0,matched_without_traits,wikipedia,https://en.wikipedia.org/wiki/Bufflehead,CC BY-SA (Wikipedia text; verify page footer)
333,25,Common Goldeneye (Breeding male),Common Goldeneye,0,Common Goldeneye Breeding male,short_variant_plus_external_traits,Breeding male,4,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Common_goldeneye,CC BY-SA (Wikipedia text; verify page footer)
333,25,Common Goldeneye (Breeding male),Common Goldeneye,1,a field guide photo of a breeding male Common Goldeneye.,short_variant_plus_external_traits,Breeding male,4,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Common_goldeneye,CC BY-SA (Wikipedia text; verify page footer)
333,25,Common Goldeneye (Breeding male),Common Goldeneye,2,"a field guide photo of a breeding male Common Goldeneye, showing breeding male plumage, brown head, dark back, dark head, and white neck.",short_variant_plus_external_traits,Breeding male,4,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Common_goldeneye,CC BY-SA (Wikipedia text; verify page footer)
334,26,Barrow's Goldeneye (Breeding male),Barrow's Goldeneye,0,Barrow's Goldeneye Breeding male,short_variant_plus_external_traits,Breeding male,3,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Barrow's_goldeneye,CC BY-SA (Wikipedia text; verify page footer)
334,26,Barrow's Goldeneye (Breeding male),Barrow's Goldeneye,1,a field guide photo of a breeding male Barrow's Goldeneye.,short_variant_plus_external_traits,Breeding male,3,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Barrow's_goldeneye,CC BY-SA (Wikipedia text; verify page footer)
334,26,Barrow's Goldeneye (Breeding male),Barrow's Goldeneye,2,"a field guide photo of a breeding male Barrow's Goldeneye, showing breeding male plumage, dark head, yellow bill, and rounded head.",short_variant_plus_external_traits,Breeding male,3,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Barrow's_goldeneye,CC BY-SA (Wikipedia text; verify page footer)
335,27,Hooded Merganser (Breeding male),Hooded Merganser,0,Hooded Merganser Breeding male,short_variant_plus_external_traits,Breeding male,2,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Hooded_merganser,CC BY-SA (Wikipedia text; verify page footer)
335,27,Hooded Merganser (Breeding male),Hooded Merganser,1,a field guide photo of a breeding male Hooded Merganser.,short_variant_plus_external_traits,Breeding male,2,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Hooded_merganser,CC BY-SA (Wikipedia text; verify page footer)
335,27,Hooded Merganser (Breeding male),Hooded Merganser,2,"a field guide photo of a breeding male Hooded Merganser, showing breeding male plumage, brown neck, and crested duck.",short_variant_plus_external_traits,Breeding male,2,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Hooded_merganser,CC BY-SA (Wikipedia text; verify page footer)
336,28,Common Merganser (Breeding male),Common Merganser,0,Common Merganser Breeding male,short_variant_plus_external_traits,Breeding male,1,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Common_merganser,CC BY-SA (Wikipedia text; verify page footer)
336,28,Common Merganser (Breeding male),Common Merganser,1,a field guide photo of a breeding male Common Merganser.,short_variant_plus_external_traits,Breeding male,1,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Common_merganser,CC BY-SA (Wikipedia text; verify page footer)
336,28,Common Merganser (Breeding male),Common Merganser,2,"a field guide photo of a breeding male Common Merganser, showing breeding male plumage, and brown head.",short_variant_plus_external_traits,Breeding male,1,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Common_merganser,CC BY-SA (Wikipedia text; verify page footer)
337,29,Red-breasted Merganser (Breeding male),Red-breasted Merganser,0,Red-breasted Merganser Breeding male,short_variant_plus_external_traits,Breeding male,9,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Red-breasted_merganser,CC BY-SA (Wikipedia text; verify page footer)
337,29,Red-breasted Merganser (Breeding male),Red-breasted Merganser,1,a field guide photo of a breeding male Red-breasted Merganser.,short_variant_plus_external_traits,Breeding male,9,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Red-breasted_merganser,CC BY-SA (Wikipedia text; verify page footer)
337,29,Red-breasted Merganser (Breeding male),Red-breasted Merganser,2,"a field guide photo of a breeding male Red-breasted Merganser, showing breeding male plumage, black back, dark head, red bill, and red breast.",short_variant_plus_external_traits,Breeding male,9,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Red-breasted_merganser,CC BY-SA (Wikipedia text; verify page footer)
338,30,California Quail (Male),California Quail,0,California Quail Male,short_variant_plus_external_traits,Male,4,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/California_quail,CC BY-SA (Wikipedia text; verify page footer)
338,30,California Quail (Male),California Quail,1,a field guide photo of a male California Quail.,short_variant_plus_external_traits,Male,4,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/California_quail,CC BY-SA (Wikipedia text; verify page footer)
338,30,California Quail (Male),California Quail,2,"a field guide photo of a male California Quail, showing male plumage, black face, brown back, brown belly, and brown cap.",short_variant_plus_external_traits,Male,4,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/California_quail,CC BY-SA (Wikipedia text; verify page footer)
339,31,Gambel's Quail (Male),Gambel's Quail,0,Gambel's Quail Male,short_variant_plus_external_traits,Male,2,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Gambel's_quail,CC BY-SA (Wikipedia text; verify page footer)
339,31,Gambel's Quail (Male),Gambel's Quail,1,a field guide photo of a male Gambel's Quail.,short_variant_plus_external_traits,Male,2,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Gambel's_quail,CC BY-SA (Wikipedia text; verify page footer)
339,31,Gambel's Quail (Male),Gambel's Quail,2,"a field guide photo of a male Gambel's Quail, showing male plumage, gray plumage, and rounded wings.",short_variant_plus_external_traits,Male,2,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Gambel's_quail,CC BY-SA (Wikipedia text; verify page footer)
340,32,Ring-necked Pheasant (Male),Ring-necked Pheasant,0,Ring-necked Pheasant Male,short_variant_plus_external_traits,Male,5,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Common_pheasant,CC BY-SA (Wikipedia text; verify page footer)
340,32,Ring-necked Pheasant (Male),Ring-necked Pheasant,1,a field guide photo of a male Ring-necked Pheasant.,short_variant_plus_external_traits,Male,5,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Common_pheasant,CC BY-SA (Wikipedia text; verify page footer)
340,32,Ring-necked Pheasant (Male),Ring-necked Pheasant,2,"a field guide photo of a male Ring-necked Pheasant, showing male plumage, brown plumage, black tail, blue head, and white neck.",short_variant_plus_external_traits,Male,5,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Common_pheasant,CC BY-SA (Wikipedia text; verify page footer)
341,33,Red-throated Loon (Breeding),Red-throated Loon,0,Red-throated Loon Breeding,short_variant_plus_external_traits,Breeding,5,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Red-throated_loon,CC BY-SA (Wikipedia text; verify page footer)
341,33,Red-throated Loon (Breeding),Red-throated Loon,1,a field guide photo of a breeding Red-throated Loon.,short_variant_plus_external_traits,Breeding,5,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Red-throated_loon,CC BY-SA (Wikipedia text; verify page footer)
341,33,Red-throated Loon (Breeding),Red-throated Loon,2,"a field guide photo of a breeding Red-throated Loon, showing breeding plumage, dark back, red throat, reddish throat, and white underparts.",short_variant_plus_external_traits,Breeding,5,matched_with_traits,wikipedia,https://en.wikipedia.org/wiki/Red-throated_loon,CC BY-SA (Wikipedia text; verify page footer)
